YY,MM,DD,hh,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2003,01,05,17,352,3.8,4.9,3.64,16.67,10.78,999,1025.4,11.3,12.7,999.0,99.0,99.00
2003,01,05,18,21,2.1,3.3,4.39,16.67,11.66,999,1025.9,10.6,12.7,999.0,99.0,99.00
2003,01,05,19,14,0.5,2.1,4.80,16.67,12.11,999,1025.6,10.7,12.8,999.0,99.0,99.00
2003,01,05,20,12,0.9,2.0,5.00,16.67,12.30,999,1024.5,10.9,12.8,999.0,99.0,99.00
2003,01,05,21,313,1.8,4.1,4.58,16.67,11.73,999,1023.2,10.3,13.0,999.0,99.0,99.00
2003,01,05,22,336,4.6,6.0,4.13,16.67,11.23,999,1022.4,10.5,13.0,999.0,99.0,99.00
2003,01,05,23,321,4.7,6.7,4.53,14.29,11.36,999,1021.9,10.9,13.0,999.0,99.0,99.00
2003,01,06,00,331,5.1,6.8,3.91,16.67,10.80,999,1021.5,10.8,13.0,999.0,99.0,99.00
2003,01,06,01,335,5.6,7.7,3.78,14.29,10.66,999,1021.5,11.2,12.9,999.0,99.0,99.00
2003,01,06,02,324,6.6,8.2,3.97,14.29,10.44,999,1021.3,10.8,12.9,999.0,99.0,99.00
2003,01,06,03,324,7.5,9.0,3.83,14.29,10.04,999,1021.1,10.7,12.9,999.0,99.0,99.00
2003,01,06,04,331,7.0,9.5,3.59,14.29,9.56,999,1021.0,10.6,12.9,999.0,99.0,99.00
2003,01,06,05,339,5.4,7.0,3.56,14.29,9.38,999,1020.7,10.7,12.8,999.0,99.0,99.00
2003,01,06,06,323,6.6,8.5,3.79,16.67,9.90,999,1019.8,10.8,12.8,999.0,99.0,99.00
2003,01,06,07,339,5.3,6.6,3.27,14.29,8.98,999,1019.2,11.0,12.8,999.0,99.0,99.00
2003,01,06,08,339,3.3,4.2,3.26,14.29,9.01,999,1018.6,10.9,12.8,999.0,99.0,99.00
2003,01,06,09,318,2.7,4.1,3.05,14.29,9.13,999,1018.3,11.8,12.8,999.0,99.0,99.00
2003,01,06,10,304,4.8,6.4,3.16,16.67,9.33,999,1018.0,10.7,12.8,999.0,99.0,99.00
2003,01,06,11,335,3.5,5.0,2.98,14.29,9.07,999,1018.2,10.3,12.8,999.0,99.0,99.00
2003,01,06,12,309,3.3,4.9,2.77,14.29,9.18,999,1017.8,10.2,12.7,999.0,99.0,99.00
2003,01,06,13,294,4.1,6.0,2.90,14.29,9.38,999,1017.5,10.1,12.7,999.0,99.0,99.00
2003,01,06,14,307,4.3,5.5,2.70,12.50,9.40,999,1017.4,10.1,12.7,999.0,99.0,99.00
2003,01,06,15,295,2.4,3.5,3.04,14.29,10.16,999,1017.4,9.9,12.7,999.0,99.0,99.00
2003,01,06,16,307,0.3,1.4,2.81,14.29,10.19,999,1017.7,9.8,12.6,999.0,99.0,99.00
2003,01,06,17,247,1.5,2.8,2.55,14.29,9.60,999,1018.0,10.8,12.6,999.0,99.0,99.00
2003,01,06,18,162,1.2,2.4,2.70,12.50,10.09,999,1018.7,11.7,12.7,999.0,99.0,99.00
2003,01,06,19,116,3.3,4.9,2.79,12.50,10.36,999,1018.5,14.2,12.7,999.0,99.0,99.00
2003,01,06,20,197,2.6,3.6,2.94,14.29,10.25,999,1018.0,13.4,12.9,999.0,99.0,99.00
2003,01,06,21,360,1.6,2.9,3.63,14.29,11.26,999,1017.3,13.7,13.0,999.0,99.0,99.00
2003,01,06,22,311,2.5,3.7,2.86,25.00,10.26,999,1017.2,13.8,13.2,999.0,99.0,99.00
2003,01,06,23,327,1.5,2.4,3.34,25.00,11.54,999,1017.4,14.0,13.3,999.0,99.0,99.00
2003,01,07,00,357,1.7,2.4,2.65,14.29,10.32,999,1017.6,14.6,13.4,999.0,99.0,99.00
2003,01,07,01,38,1.1,2.4,3.27,20.00,11.52,999,1018.1,14.6,13.3,999.0,99.0,99.00
2003,01,07,02,42,3.8,5.1,3.47,20.00,12.54,999,1018.3,13.9,13.1,999.0,99.0,99.00
2003,01,07,03,27,3.0,3.7,3.05,20.00,11.53,999,1018.6,13.0,13.0,999.0,99.0,99.00
2003,01,07,04,37,4.4,6.0,3.82,20.00,12.85,999,1019.0,13.3,12.9,999.0,99.0,99.00
2003,01,07,05,56,3.4,5.0,3.44,20.00,12.49,999,1019.5,12.8,12.9,999.0,99.0,99.00
2003,01,07,06,68,5.0,6.8,3.65,20.00,12.90,999,1020.0,12.8,12.8,999.0,99.0,99.00
