YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
2012,01,05,18,50,311,9.3,11.2,3.81,12.90,8.59,999,1026.6,11.3,11.1,999.0,99.0,99.00
2012,01,05,19,50,312,10.4,12.8,3.72,13.79,8.59,999,1025.7,11.2,11.1,999.0,99.0,99.00
2012,01,05,20,50,308,10.9,13.3,4.03,13.79,8.55,999,1024.6,11.5,11.0,999.0,99.0,99.00
2012,01,05,21,50,309,10.8,12.9,4.19,14.81,8.85,999,1023.9,11.6,10.9,999.0,99.0,99.00
2012,01,05,22,50,310,10.9,13.2,3.71,14.81,8.45,999,1023.5,11.4,10.9,999.0,99.0,99.00
2012,01,05,23,50,305,11.1,13.1,4.02,12.90,8.74,999,1023.0,11.3,10.8,999.0,99.0,99.00
2012,01,06,00,50,312,12.2,15.3,3.85,14.81,7.85,999,1022.4,11.2,10.7,999.0,99.0,99.00
2012,01,06,01,50,311,11.5,14.6,4.13,14.81,8.34,999,1022.0,10.9,10.7,999.0,99.0,99.00
2012,01,06,02,50,313,12.5,14.9,4.47,14.81,8.93,999,1021.8,11.0,11.1,999.0,99.0,99.00
2012,01,06,03,50,312,11.9,14.9,4.02,17.39,7.92,999,1021.8,10.9,11.0,999.0,99.0,99.00
2012,01,06,04,50,314,10.9,13.4,4.66,13.79,8.77,999,1021.6,10.8,11.0,999.0,99.0,99.00
2012,01,06,05,50,313,11.5,14.3,4.39,14.81,8.92,999,1021.8,10.7,10.9,999.0,99.0,99.00
2012,01,06,06,50,314,12.1,14.8,4.78,17.39,9.02,999,1021.8,10.6,10.9,999.0,99.0,99.00
2012,01,06,07,50,315,12.3,14.8,5.07,16.00,9.04,999,1021.5,10.5,10.8,999.0,99.0,99.00
2012,01,06,08,50,319,12.3,14.9,4.54,12.90,8.59,999,1021.5,10.4,10.8,999.0,99.0,99.00
2012,01,06,09,50,322,11.0,13.8,4.75,16.00,8.82,999,1021.3,10.4,10.8,999.0,99.0,99.00
2012,01,06,10,50,319,11.6,14.1,4.76,16.00,8.85,999,1021.3,10.3,10.8,999.0,99.0,99.00
2012,01,06,11,50,320,11.2,14.6,4.68,14.81,9.02,999,1021.3,10.2,10.7,999.0,99.0,99.00
2012,01,06,12,50,325,11.8,14.2,4.93,16.00,9.42,999,1020.9,10.2,10.7,999.0,99.0,99.00
2012,01,06,13,50,324,12.4,15.5,4.60,16.00,8.64,999,1021.0,10.2,10.7,999.0,99.0,99.00
2012,01,06,14,50,323,11.8,15.1,4.82,16.00,9.17,999,1021.1,10.2,10.7,999.0,99.0,99.00
2012,01,06,15,50,322,12.0,14.6,4.48,13.79,8.66,999,1021.2,10.1,10.7,999.0,99.0,99.00
2012,01,06,16,50,321,13.0,16.7,4.27,14.81,8.21,999,1022.1,10.3,10.7,999.0,99.0,99.00
2012,01,06,17,50,322,12.3,15.0,4.53,13.79,8.59,999,1022.5,10.3,10.7,999.0,99.0,99.00
2012,01,06,18,50,319,12.6,15.8,4.35,16.00,8.60,999,1022.6,10.3,10.6,999.0,99.0,99.00
