YY,MM,DD,hh,mm,WD,WSPD,GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS,TIDE
2005,01,10,00,00,298,0.6,1.4,2.55,12.12,8.02,999,1013.2,11.9,13.2,999.0,99.0,99.00
2005,01,10,01,00,271,0.8,2.1,2.99,12.12,8.50,999,1013.2,11.6,13.1,999.0,99.0,99.00
2005,01,10,02,00,292,0.5,1.5,2.69,12.90,8.54,999,1013.2,11.4,13.1,999.0,99.0,99.00
2005,01,10,03,00,209,1.0,2.0,2.73,11.43,8.13,999,1013.7,11.4,13.0,999.0,99.0,99.00
2005,01,10,04,00,182,0.8,1.9,2.56,11.43,8.14,999,1014.2,11.3,13.0,999.0,99.0,99.00
2005,01,10,05,00,164,1.4,2.5,2.74,12.90,8.44,999,1014.4,11.4,13.0,999.0,99.0,99.00
2005,01,10,06,00,170,2.2,3.0,2.71,12.90,8.22,999,1014.8,11.4,13.1,999.0,99.0,99.00
2005,01,10,07,00,157,3.0,4.5,2.36,12.12,7.98,999,1015.3,11.5,13.1,999.0,99.0,99.00
2005,01,10,08,00,155,3.5,4.9,2.46,12.90,8.16,999,1015.2,11.7,13.0,999.0,99.0,99.00
2005,01,10,09,00,142,4.3,5.6,2.43,12.12,8.33,999,1015.5,11.6,13.0,999.0,99.0,99.00
2005,01,10,10,00,134,5.1,6.6,2.46,12.12,8.42,999,1015.4,11.5,13.0,999.0,99.0,99.00
2005,01,10,11,00,124,5.2,6.7,2.32,12.12,7.90,999,1015.1,11.4,13.0,999.0,99.0,99.00
